DateTime,O3,NOx,GT,NO2
2004-03-10 18:00:00,1268,1056,113,1692
2004-03-10 19:00:00,972,1174,92,1559
2004-03-10 20:00:00,1074,1140,114,1555
2004-03-10 21:00:00,1203,1092,122,1584
2004-03-10 22:00:00,1110,1205,116,1490
2004-03-10 23:00:00,949,1337,96,1393
2004-03-11 00:00:00,733,1462,77,1333
2004-03-11 01:00:00,730,1453,76,1333
2004-03-11 02:00:00,620,1579,60,1276
2004-03-11 03:00:00,501,1705,-200,1235
2004-03-11 04:00:00,445,1818,34,1197
2004-03-11 05:00:00,422,1918,28,1182
2004-03-11 06:00:00,472,1738,48,1221
2004-03-11 07:00:00,730,1490,82,1339
2004-03-11 08:00:00,1102,1136,112,1517
2004-03-11 09:00:00,1028,1079,101,1583
2004-03-11 10:00:00,860,1218,98,1446
2004-03-11 11:00:00,671,1328,92,1362
2004-03-11 12:00:00,664,1301,95,1401
2004-03-11 13:00:00,799,1162,112,1537
2004-03-11 14:00:00,1037,983,128,1730
2004-03-11 15:00:00,946,1082,126,1647
2004-03-11 16:00:00,957,1103,131,1591
2004-03-11 17:00:00,1104,1008,135,1719
2004-03-11 18:00:00,1409,799,151,2083
2004-03-11 19:00:00,1704,702,172,2333
2004-03-11 20:00:00,1654,743,165,2191
2004-03-11 21:00:00,1285,957,136,1707
2004-03-11 22:00:00,821,1325,85,1333
2004-03-11 23:00:00,552,1565,53,1252
2004-03-12 00:00:00,816,1254,97,1375
2004-03-12 01:00:00,832,1247,110,1378
2004-03-12 02:00:00,692,1396,91,1304
2004-03-12 03:00:00,512,1680,-200,1187
2004-03-12 04:00:00,384,1893,32,1134
2004-03-12 05:00:00,394,1895,44,1155
2004-03-12 06:00:00,487,1685,71,1223
2004-03-12 07:00:00,748,1387,104,1361
2004-03-12 08:00:00,1400,897,141,1900
2004-03-12 09:00:00,1588,767,-200,2058
2004-03-12 10:00:00,1237,912,122,1712
2004-03-12 11:00:00,1167,969,143,1598
2004-03-12 12:00:00,959,1035,113,1537
2004-03-12 13:00:00,983,1008,116,1593
2004-03-12 14:00:00,1061,949,123,1660
2004-03-12 15:00:00,1139,922,126,1740
2004-03-12 16:00:00,1112,954,120,1657
